CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MFACTOR
201310437511	1	106.644961	1	5	16	2	3	0
201310437513	1	213.289922	1	6	16	2	3	0
201310437513	2	213.289922	1	6	16	2	3	0
201310437515	1	213.289922	1	6	16	2	3	0
201310437537	1	352.898	1	4	2	2	3	0
201310437553	1	323.32026	1	4	4	2	3	0
201310437553	2	323.32026	1	4	4	2	3	0
201310437554	1	215.54684	1	6	4	2	3	0
201310437557	1	98.56061	1	5	6	2	3	0
201310437557	2	98.56061	1	5	6	2	3	0
201310437558	1	197.12122	1	6	6	2	3	0
201310437558	2	197.12122	1	6	6	2	3	0
201310437567	1	115.047462	1	5	9	2	3	0
201310437568	1	230.094924	1	6	9	2	3	0
201310437568	2	230.094924	1	6	9	2	3	0
201310437572	1	345.142386	1	4	9	2	3	0
201310437579	1	57.523731	1	2	9	2	3	0
201310437579	2	57.523731	1	2	9	2	3	0
201310437580	1	230.094924	1	6	9	2	3	0
201310437580	2	230.094924	1	6	9	2	3	0
201310437586	1	57.523731	1	1	9	2	3	0
201310437587	1	230.094924	1	6	9	2	3	0
201310437589	1	345.142386	1	4	9	2	3	0
201310437598	1	115.047462	1	5	9	2	3	0
201310437600	1	179.70652	1	6	10	2	3	0
201310437600	2	179.70652	1	6	10	2	3	0
201310437600	3	179.70652	1	6	10	2	3	0
201310437612	1	217.168	1	6	1	2	3	0
201310437612	2	217.168	1	6	1	2	3	0
201310437617	1	352.898	1	4	1	2	3	1
201310437617	2	352.898	1	4	1	2	3	0
201310437624	1	352.898	1	4	3	2	3	0
201310437632	1	344.962135	1	4	6	2	3	0
201310437634	1	49.280305	1	1	6	2	3	0
201310437634	2	49.280305	1	1	6	2	3	0
201310437638	1	49.280305	1	2	6	2	3	0
201310437638	2	49.280305	1	2	6	2	3	0
201310437642	1	179.70652	1	6	10	2	3	0
201310437643	1	359.41304	1	4	10	2	3	0
201310437676	1	81.438	1	5	3	2	3	0
201310437676	2	81.438	1	5	3	2	3	0
201310437676	3	81.438	1	5	3	2	3	0
201310437676	4	81.438	1	5	3	2	3	0
