MDRMANAV	REGION	STRATUM	CASENUM	WEIGHT	PJ	PSU	VEHNO
98	1	1	201010426537	27.146	3	2	1
98	1	1	201010426537	27.146	3	2	2
0	1	4	201010426541	298.606	3	2	1
0	1	4	201010426541	298.606	3	2	2
98	1	6	201010426542	135.73	3	2	1
98	1	6	201010426542	135.73	3	2	2
98	1	4	201010426547	269.56	10	2	1
98	1	4	201010426547	269.56	10	2	2
98	1	4	201010426550	269.56	10	2	1
98	1	4	201010426550	269.56	10	2	2
4	1	6	201010426551	89.853	10	2	1
0	1	6	201010426551	89.853	10	2	2
0	1	5	201010426552	89.853	10	2	1
98	1	5	201010426552	89.853	10	2	2
98	1	5	201010426552	89.853	10	2	3
98	1	5	201010426553	49.28	6	2	1
98	1	5	201010426553	49.28	6	2	2
98	1	6	201010426555	147.841	6	2	1
98	1	4	201010426559	295.682	6	2	1
98	1	6	201010426565	107.773	4	2	1
98	1	5	201010426567	49.28	6	2	1
98	1	4	201010426568	269.434	4	2	1
98	1	4	201010426568	269.434	4	2	2
98	1	6	201010426573	107.773	4	2	1
0	1	6	201010426573	107.773	4	2	2
98	1	6	201010426574	147.841	6	2	1
98	1	5	201010426576	49.28	6	2	1
98	1	4	201010426580	295.682	6	2	1
98	1	5	201010426582	49.28	6	2	1
98	1	6	201010426583	107.773	4	2	1
98	1	4	201010426586	269.434	4	2	1
98	1	4	201010426586	269.434	4	2	2
98	1	6	201010426587	147.841	6	2	1
98	1	6	201010426587	147.841	6	2	2
98	1	5	201010426588	49.28	6	2	1
0	1	5	201010426590	49.28	6	2	1
0	1	5	201010426590	49.28	6	2	2
4	1	2	201010426591	49.28	6	2	1
98	1	4	201010426596	295.682	6	2	1
98	1	4	201010426596	295.682	6	2	2
98	1	6	201010426601	147.841	6	2	1
0	1	6	201010426601	147.841	6	2	2
0	1	4	201010426606	295.682	6	2	1
0	1	6	201010426608	147.841	6	2	1
0	1	6	201010426608	147.841	6	2	2
98	1	5	201010426609	49.28	6	2	1
98	1	5	201010426611	49.28	6	2	1
98	1	3	201010426624	27.146	2	2	1
98	1	3	201010426624	27.146	2	2	2
3	1	4	201010426627	298.606	2	2	1
98	1	6	201010426630	135.73	1	2	1
98	1	4	201010426642	298.606	3	2	1
98	1	4	201010426642	298.606	3	2	2
0	1	4	201010426650	295.682	6	2	1
98	1	6	201010426653	147.841	6	2	1
98	1	6	201010426653	147.841	6	2	2
98	1	6	201010426656	89.853	10	2	1
98	1	6	201010426656	89.853	10	2	2
98	1	5	201010426657	49.28	6	2	1
98	1	5	201010426657	49.28	6	2	2
98	1	4	201010426659	269.56	10	2	1
98	1	4	201010426659	269.56	10	2	2
4	1	6	201010426668	107.773	4	2	1
0	1	6	201010426684	106.645	16	2	1
0	1	6	201010426684	106.645	16	2	2
0	1	6	201010426685	106.645	16	2	1
98	1	6	201010426685	106.645	16	2	2
98	1	4	201010426688	319.935	16	2	1
99	1	4	201010426691	319.935	16	2	1
0	1	6	201010426692	106.645	16	2	1
4	1	6	201010426692	106.645	16	2	2
0	1	6	201010426693	106.645	16	2	1
98	1	6	201010426696	106.645	16	2	1
0	1	4	201010426697	319.935	16	2	1
0	1	4	201010426697	319.935	16	2	2
3	1	6	201010426704	89.853	10	2	1
3	1	4	201010426705	269.56	10	2	1
0	1	1	201010426710	53.887	4	2	1
98	1	4	201010426711	269.434	4	2	1
98	1	5	201010426723	54.292	3	2	1
0	1	5	201010426723	54.292	3	2	2
98	1	5	201010426723	54.292	3	2	3
0	1	5	201010426731	54.292	1	2	1
98	1	5	201010426755	49.28	6	2	1
98	1	4	201010426757	295.682	6	2	1
0	1	6	201010426760	147.841	6	2	1
0	1	4	201010426767	269.56	10	2	1
0	1	4	201010426767	269.56	10	2	2
98	1	4	201010426784	298.606	1	2	1
98	1	4	201010426784	298.606	1	2	2
98	1	6	201010426791	135.73	1	2	1
98	1	6	201010426793	135.73	3	2	1
0	1	6	201010426793	135.73	3	2	2
98	1	4	201010426795	298.606	3	2	1
98	1	4	201010426795	298.606	3	2	2
98	1	5	201010426804	89.853	10	2	1
98	1	5	201010426807	49.28	6	2	1
98	1	5	201010426807	49.28	6	2	2
98	1	6	201010426809	147.841	6	2	1
98	1	3	201010426812	49.28	6	2	1
98	1	1	201010426815	27.146	2	2	1
0	1	6	201010426816	135.73	2	2	1
98	1	2	201010426824	27.146	1	2	1
98	1	2	201010426824	27.146	1	2	2
98	1	5	201010426830	54.292	2	2	1
0	1	5	201010426830	54.292	2	2	2
98	1	5	201010426830	54.292	2	2	3
0	1	4	201010426831	298.606	3	2	1
98	1	4	201010426831	298.606	3	2	2
0	1	2	201010426834	27.146	2	2	1
98	1	2	201010426834	27.146	2	2	2
98	1	4	201010426840	298.606	2	2	1
5	1	3	201010426843	27.146	3	2	1
99	1	4	201010426847	295.682	6	2	1
0	1	4	201010426847	295.682	6	2	2
98	1	5	201010426850	49.28	6	2	1
98	1	5	201010426850	49.28	6	2	2
0	1	5	201010426852	89.853	10	2	1
98	1	5	201010426852	89.853	10	2	2
98	1	3	201010426855	89.853	10	2	1
98	1	5	201010426856	89.853	10	2	1
0	1	2	201010426859	89.853	10	2	1
0	1	2	201010426859	89.853	10	2	2
98	1	3	201010426860	49.28	6	2	1
98	1	6	201010426862	147.841	6	2	1
98	1	5	201010426863	49.28	6	2	1
98	1	5	201010426863	49.28	6	2	2
3	1	4	201010426865	269.56	10	2	1
98	1	5	201010426866	49.28	6	2	1
98	1	5	201010426866	49.28	6	2	2
98	1	4	201010426869	295.682	6	2	1
98	1	5	201010426876	53.887	4	2	1
98	1	5	201010426876	53.887	4	2	2
5	1	4	201010426877	269.434	4	2	1
98	1	4	201010426877	269.434	4	2	2
0	1	6	201010426878	107.773	4	2	1
0	1	6	201010426878	107.773	4	2	2
0	1	6	201010426878	107.773	4	2	3
98	1	3	201010426884	27.146	1	2	1
98	1	5	201010426886	54.292	1	2	1
98	1	5	201010426886	54.292	1	2	2
98	1	2	201010426893	27.146	3	2	1
99	1	2	201010426893	27.146	3	2	2
98	1	5	201010426894	54.292	2	2	1
0	1	5	201010426907	49.28	6	2	1
0	1	5	201010426907	49.28	6	2	2
98	1	2	201010426908	49.28	6	2	1
0	1	2	201010426908	49.28	6	2	2
98	1	4	201010426910	295.682	6	2	1
98	1	4	201010426910	295.682	6	2	2
98	1	4	201010426914	287.619	9	2	1
98	1	5	201010426915	53.887	4	2	1
98	1	5	201010426915	53.887	4	2	2
