REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PIMPACT2	PV_CONFIG	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT1	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	4	99	9	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	1999	201010791402	291.467	000000000	0	26	21	399	0	0	7	3	2
1	4	49	31	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	5TBBT54108S4	2008	201010791434	294.566	000000000	0	32	3	482	1	1	7	3	1
1	3	20	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	30	0	2G1WF55EX491	2004	201010791462	20.315	000000000	0	30	3	2	0	0	7	3	1
1	1	3	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	5GTDN13E1781	2007	201010791700	4.783	000000000	0	26	10	402	0	0	99	3	1
1	4	37	4	0	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	1HGCP368X8A0	2008	201010792116	291.467	000000000	0	23	21	32	0	0	7	3	1
1	4	12	21	0	0	0	0	9	1	0	0	0	0	1	0	1	0	27	0	1FTNE24271HA	2001	201010792130	296.785	000000000	0	26	16	461	0	0	7	3	1
1	4	58	5	0	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	999999999999	2007	201010792300	293.914	000000000	0	26	1	399	0	0	99	3	1
1	6	49	14	77	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	2T3DF4DV3AW0	2010	201010792482	132.047	000000000	0	27	3	402	1	1	7	3	1
1	4	49	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	23	0	1NXBR32E48Z9	2008	201010792693	293.494	000000000	0	23	4	32	0	0	7	3	1
1	4	49	14	0	0	0	0	7	1	0	0	0	0	1	0	1	0	32	0	JTEEP21A3400	2004	201010792976	293.219	000000000	0	32	7	403	0	0	7	3	1
1	4	12	14	0	0	0	0	7	1	0	0	0	0	1	0	1	0	99	0	1FMZU73E82UC	2002	201010793230	293.494	000000000	0	32	4	401	0	0	7	3	1
1	4	37	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	26	0	1HGFA1680L00	2007	201010793614	292.99	000000000	0	26	8	399	0	0	7	3	1
1	6	49	4	77	0	0	0	7	1	0	0	0	0	1	0	1	0	27	0	4T1BE46K27U0	2007	201010793730	129.522	000000000	0	27	1	40	0	0	6	3	1
1	3	20	20	77	0	0	0	9	1	0	0	0	0	1	0	1	0	29	0	1GNEL19W4WB1	1998	201010793884	19.864	000000000	0	29	8	441	0	0	7	3	1
