REGION	STRATUM	CASENUM	WEIGHT	EVENTNUM	PGAD	PVEHNO	PJ	PSU
1	4	201011176765	305.288	1	28	1	7	4
1	4	201011177108	298.504	1	27	1	6	4
1	3	201011177588	33.921	2	25	1	7	4
1	4	201011177688	296.808	1	63	1	11	4
1	5	201011177752	52.186	3	63	1	3	4
1	5	201011177752	52.186	4	63	2	3	4
1	5	201011177883	52.186	1	63	1	1	4
1	4	201011178115	300.07	1	30	1	1	4
1	4	201011178322	300.07	1	30	1	2	4
1	6	201011178333	130.465	6	26	1	2	4
1	4	201011178586	296.808	2	27	1	11	4
1	5	201011179503	59.362	2	26	1	11	4
1	6	201011179515	118.723	2	32	1	11	4
1	6	201011179515	118.723	3	26	2	11	4
1	3	201011517637	16.459	3	32	1	8	5
1	6	201011518264	132.552	2	27	1	3	5
1	5	201011518376	60.753	2	31	1	3	5
1	5	201011518376	60.753	3	32	2	3	5
1	3	201011518484	16.569	2	29	1	3	5
1	3	201011518484	16.569	4	28	2	3	5
1	6	201011518615	132.552	2	26	1	1	5
1	6	201011518858	131.668	2	26	1	8	5
1	6	201011518858	131.668	3	29	2	8	5
1	6	201011518912	132.552	1	27	1	3	5
1	6	201011518912	132.552	2	97	2	3	5
1	4	201011519027	296.254	1	32	1	8	5
1	2	201011519462	5.523	3	26	1	1	5
1	6	201011519535	132.552	1	26	1	3	5
1	3	201011520154	16.459	2	26	1	8	5
1	3	201011520154	16.459	3	26	2	8	5
1	3	201011520154	16.459	4	26	3	8	5
1	6	201011520412	132.552	2	32	1	3	5
1	1	201012003126	5.488	2	26	1	7	6
1	1	201012003126	5.488	3	26	2	7	6
1	5	201012003339	57.46	3	29	1	4	6
1	6	201012003596	133.38	2	26	1	20	6
1	6	201012003614	134.12	4	34	1	11	6
1	1	201012003646	2.763	5	29	1	1	6
1	1	201012003646	2.763	6	32	2	1	6
1	1	201012003646	2.763	7	29	2	1	6
1	5	201012414679	56.764	2	27	1	15	8
1	6	201012414731	99.48	2	26	1	69	8
1	6	201012414731	99.48	5	25	2	69	8
1	6	201012414731	99.48	6	21	3	69	8
1	6	201012414731	99.48	7	32	4	69	8
1	6	201012414813	98.855	2	28	1	118	8
1	5	201012414948	56.764	3	32	1	15	8
1	5	201012415044	56.764	3	30	1	15	8
1	5	201012415044	56.764	4	27	2	15	8
1	5	201012415044	56.764	5	26	3	15	8
1	3	201012415178	12.435	2	27	1	4	8
1	3	201012415178	12.435	3	26	2	4	8
1	3	201012415178	12.435	5	26	3	4	8
1	6	201012415388	141.911	2	21	1	15	8
1	6	201012415679	141.911	4	27	1	15	8
1	6	201012415679	141.911	5	97	2	15	8
1	3	201012415695	17.303	2	22	1	5	8
1	5	201012415968	44.206	2	31	1	28	8
1	5	201012416002	98.855	2	29	1	119	8
1	5	201012416002	98.855	3	26	2	119	8
1	5	201012416002	98.855	4	21	3	119	8
1	6	201012416046	117.172	2	27	1	47	8
1	6	201012416214	123.095	2	26	1	51	8
1	6	201012416230	124.35	3	29	1	4	8
1	1	201012416301	12.847	4	31	1	2	8
1	5	201012416413	45.154	3	31	1	33	8
1	1	201012416525	17.303	3	32	1	5	8
2	4	201012800782	285.76	2	29	1	2	11
2	1	201012800788	19.051	4	97	1	2	11
2	1	201012800788	19.051	5	97	2	2	11
2	4	201012800860	285.76	1	26	1	2	11
3	6	201013035334	129.532	2	26	1	5	9
3	4	201013035641	292.647	3	62	1	5	9
3	4	201013035671	291.442	1	26	1	8	9
3	2	201013035750	4.798	1	26	1	5	9
3	2	201013035750	4.798	2	26	1	5	9
3	2	201013036052	4.798	2	26	1	5	9
3	6	201013036399	121.475	1	26	1	13	9
3	5	201013036604	48.59	2	26	1	13	9
3	5	201013036637	57.57	2	26	1	3	9
3	3	201013037509	19.19	2	26	1	2	9
3	1	201013037820	4.798	3	63	1	2	9
3	4	201013039193	292.647	2	31	1	5	9
3	4	201013039193	292.647	3	27	2	5	9
3	4	201013040525	292.647	2	28	1	4	9
3	6	201013040610	129.532	2	26	1	3	9
3	3	201013040767	19.19	2	63	1	5	9
3	3	201013040767	19.19	3	26	2	5	9
3	2	201013040816	4.798	1	63	1	5	9
3	5	201013041023	57.57	2	26	1	2	9
3	2	201013041042	4.798	4	63	1	5	9
3	2	201013041042	4.798	7	63	1	5	9
3	2	201013041282	4.798	1	62	1	4	9
3	1	201013041373	4.798	2	26	1	2	9
3	4	201013041393	292.647	2	32	1	2	9
3	6	201013041433	129.532	1	63	1	3	9
3	2	201013041881	4.798	2	26	1	1	9
3	6	201013042371	121.475	1	62	1	13	9
3	3	201013042794	19.19	2	27	1	3	9
3	3	201013042794	19.19	3	27	2	3	9
3	1	201013043205	4.798	2	63	1	2	9
3	4	201013043470	291.442	1	26	1	8	9
3	1	201013043801	4.798	2	26	1	2	9
3	1	201013043801	4.798	3	26	2	2	9
3	1	201013043811	4.798	2	26	1	2	9
2	6	201013533911	133.355	2	26	1	4	11
2	4	201013534693	285.76	1	29	1	2	11
2	4	201013534730	285.76	1	29	1	1	11
2	6	201013535058	133.355	2	32	1	5	11
2	3	201013535744	48.988	4	23	1	7	11
2	6	201013535849	133.355	2	32	1	1	11
2	4	201013535909	285.76	1	61	1	1	11
2	3	201013535913	19.051	1	27	1	1	11
2	4	201013536140	285.76	1	32	1	1	11
2	4	201013536145	285.76	1	27	1	5	11
2	4	201013536341	285.76	1	63	1	2	11
2	3	201013536868	19.051	2	26	1	1	11
2	4	201013537361	285.76	1	28	1	1	11
2	6	201013537917	133.355	2	31	1	1	11
2	4	201013538120	293.925	1	61	1	7	11
2	5	201013538339	57.152	3	63	1	1	11
2	5	201013538339	57.152	4	63	2	1	11
2	4	201013538688	285.76	1	32	1	1	11
2	4	201013539156	285.76	1	29	1	4	11
2	3	201013539906	19.051	2	31	1	1	11
2	4	201013540063	285.76	1	29	1	1	11
2	2	201013540169	19.051	2	32	1	5	11
2	4	201013540223	285.76	1	63	1	1	11
2	4	201013540252	285.76	1	29	1	3	11
2	4	201014066664	296.222	2	63	1	1	12
2	6	201014066975	132.355	2	27	1	1	12
2	4	201014067582	296.222	2	31	1	1	12
2	4	201014068077	296.222	2	29	1	1	12
2	3	201014068520	20.788	1	26	1	9	12
2	2	201014068692	6.303	1	26	1	3	12
2	4	201014068707	296.222	2	31	1	1	12
2	4	201014069066	291.026	2	29	1	9	12
2	6	201014069758	124.725	4	26	1	9	12
2	6	201014070814	132.355	2	26	1	4	12
2	2	201014070937	6.303	2	26	1	1	12
2	4	201014071106	296.222	1	31	1	1	12
2	3	201014071486	18.908	1	32	1	1	12
2	6	201014071578	124.725	4	81	1	9	12
2	4	201014071759	296.222	4	32	1	1	12
2	1	201014071774	6.303	3	32	1	1	12
2	1	201014071774	6.303	4	32	2	1	12
2	1	201014071774	6.303	5	22	3	1	12
2	4	201014071919	296.222	1	24	1	3	12
2	4	201014072597	296.222	1	26	1	1	12
2	4	201014073719	334.739	1	29	1	14	12
2	1	201014101276	4.176	2	26	1	9	74
2	4	201014101828	296.482	2	26	1	9	74
2	4	201014102350	296.482	2	26	1	9	74
2	2	201014102361	4.176	1	26	1	1	74
2	4	201014102532	296.482	2	61	1	9	74
2	4	201014102700	296.482	2	26	1	9	74
2	4	201014102700	296.482	3	26	2	9	74
2	4	201014102700	296.482	5	26	3	9	74
2	4	201014102888	296.482	1	63	1	1	74
2	6	201014102921	129.45	2	83	1	1	74
2	1	201014102984	4.176	3	31	1	9	74
2	4	201014103872	296.482	2	29	1	1	74
2	1	201014103894	4.176	3	26	1	9	74
2	1	201014103894	4.176	4	97	2	9	74
2	3	201014104174	16.703	4	61	1	9	74
2	6	201014104526	129.45	3	26	1	9	74
2	1	201014104615	4.176	2	32	1	1	74
2	1	201014104615	4.176	4	32	2	1	74
2	3	201014104631	16.703	5	62	1	1	74
2	3	201014104631	16.703	6	62	2	1	74
2	4	201014105195	296.482	1	32	1	1	74
2	1	201014105274	4.176	2	26	1	1	74
2	1	201014106247	4.176	6	23	1	1	74
2	4	201014106325	296.482	1	28	1	2	74
2	6	201014106351	129.45	2	26	1	1	74
2	6	201014106351	129.45	6	23	2	1	74
2	4	201014106883	296.482	1	29	1	9	74
2	4	201014738920	311.734	1	29	1	1	13
2	5	201014739037	38.967	2	26	1	1	13
2	4	201014739170	311.734	1	29	1	1	13
2	4	201014739338	311.734	1	29	1	1	13
2	6	201014739796	116.9	2	32	1	1	13
2	4	201014739834	311.734	1	63	1	1	13
2	4	201014739980	311.734	3	62	1	1	13
2	6	201014739991	116.9	1	26	1	1	13
2	3	201014739999	38.967	2	62	1	1	13
2	3	201014740026	38.967	1	29	1	1	13
2	4	201014740105	311.734	1	61	1	6	13
2	4	201014740171	311.734	1	29	1	1	13
2	4	201014740326	311.734	1	63	1	1	13
2	6	201014740421	116.9	3	31	1	4	13
2	3	201014740559	38.967	1	26	1	1	13
2	5	201014740561	38.967	2	29	1	3	13
2	3	201014740746	38.967	2	32	1	4	13
2	3	201014740746	38.967	3	23	2	4	13
2	6	201014740880	116.9	2	27	1	1	13
2	6	201014740880	116.9	3	28	2	1	13
2	4	201014740956	311.734	1	26	1	6	13
2	4	201014741247	311.734	1	29	1	1	13
2	4	201014741328	311.734	1	26	1	1	13
2	6	201014741349	116.9	1	27	1	1	13
2	4	201014741417	311.734	1	32	1	1	13
2	4	201014741491	311.734	1	62	1	1	13
2	4	201014741852	311.734	1	30	1	5	13
2	4	201014742057	311.734	1	29	1	1	13
2	4	201014742083	311.734	1	31	1	1	13
2	4	201014742266	311.734	3	29	1	5	13
2	4	201014742805	311.734	1	30	1	1	13
2	4	201014963893	296.031	1	32	1	16	33
2	4	201014964421	294.376	2	32	1	1	10
2	4	201014965862	294.376	2	27	1	2	10
2	3	201014966192	13.597	1	26	1	15	10
2	4	201014966375	295.462	1	63	1	1	33
2	3	201014966562	18.766	2	26	1	8	33
2	1	201014966843	2.701	2	26	1	1	10
2	6	201014967978	129.634	1	26	1	2	10
2	4	201014968294	289.106	1	31	1	17	10
2	4	201014968972	294.376	1	29	1	1	10
2	4	201014969421	299.126	1	31	1	15	10
2	3	201014969424	13.597	1	32	1	15	10
2	3	201014969865	15.077	1	32	1	5	10
2	4	201014970363	290.564	2	27	1	6	33
2	4	201014971211	295.462	1	61	1	1	33
2	4	201014972347	294.376	1	29	1	4	10
2	6	201014972435	129.634	3	27	1	4	10
2	4	201014972950	289.51	1	30	1	12	33
2	3	201014972959	22.27	1	32	1	12	33
2	5	201014972990	68.315	2	27	1	16	33
2	5	201014972990	68.315	3	31	1	16	33
2	4	201014973054	294.376	1	61	1	1	10
2	3	201014973810	18.466	2	31	1	1	33
2	4	201014974129	294.376	1	31	1	1	10
2	3	201014974353	18.905	3	26	1	2	10
2	4	201014975914	294.376	1	31	1	2	10
2	4	201014976243	299.126	1	61	1	15	10
2	4	201014976269	299.126	1	29	1	15	10
3	4	201014976487	292.032	2	27	1	1	46
2	4	201014977127	293.993	1	29	1	8	33
2	5	201014977448	56.715	4	24	1	1	10
2	4	201014977780	294.376	1	29	1	3	10
2	1	201014977987	2.701	2	32	1	4	10
2	2	201014978117	7.538	1	32	1	5	10
2	3	201014978120	15.077	8	99	1	5	10
2	3	201014978120	15.077	10	99	2	5	10
2	3	201014978120	15.077	11	99	3	5	10
2	4	201014978187	299.126	1	29	1	15	10
2	1	201014978467	2.701	2	31	1	1	10
2	1	201014978467	2.701	3	27	2	1	10
2	4	201014978960	299.126	1	29	1	15	10
2	4	201014979200	294	1	32	1	5	10
2	2	201014979545	2.701	3	34	1	3	10
2	4	201014980118	294.376	1	26	1	1	10
2	4	201014980361	296.031	7	22	1	16	33
3	4	201015446460	290.777	2	62	1	1	41
3	4	201015446547	290.777	2	61	1	3	41
3	6	201015447528	130.348	2	26	1	2	41
3	6	201015448298	130.348	3	61	1	1	41
3	4	201015448379	290.777	1	27	1	2	41
3	5	201015448554	60.161	4	26	1	1	41
3	5	201015448554	60.161	6	26	1	1	41
3	6	201015449063	130.348	3	61	1	2	41
3	4	201015449092	290.777	2	32	1	2	41
3	6	201015449393	130.348	2	32	1	2	41
3	4	201015449426	290.777	1	63	1	1	41
3	6	201015450278	130.348	3	32	1	2	41
3	6	201015450349	130.348	4	25	1	2	41
3	3	201015451422	20.054	1	62	1	1	41
3	1	201015451933	10.027	2	26	1	3	41
3	5	201015452279	60.161	3	63	1	1	41
3	5	201015452279	60.161	4	83	2	1	41
3	1	201015452422	10.027	4	61	1	1	41
3	4	201016139775	293.316	2	26	1	1	43
3	4	201016139775	293.316	3	61	2	1	43
3	4	201016141294	293.316	3	32	1	2	43
3	5	201016141809	61.108	1	26	1	1	43
3	6	201016142445	124.252	1	82	1	6	43
3	4	201016142543	293.316	1	61	1	1	43
3	4	201016142782	293.316	1	61	1	1	43
3	4	201016143992	293.316	1	61	1	1	43
3	4	201016144135	289.921	1	62	1	6	43
3	3	201016144276	12.222	1	61	1	3	43
3	4	201016144372	293.316	1	62	1	1	43
