REGION	STRATUM	PMAKE	PBODYTYP	PSP_USE	PEM_USE	PTRAILER	PFIRE	PVEH_SEV	PTOWED	PROLLOVR	PCARGTYP	PHAZPLAC	PHAZ_REL	PTYPE	PROLINLOC	PHAZ_INV	PHAZ_CNO	PVIN	PMODELYR	CASENUM	WEIGHT	PCARIDNO	PHAZ_ID	PIMPACT	PJ	PMODEL	PNUMOCCS	POCCINVL	PREL_RWY	PSU	PVEHNO
1	3	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	4T1BK46K38U0	2008	200910783111	19.898	000000000	0	3	4	40	0	0	99	3	1
1	3	55	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	KMHWF35V31A4	2001	200910783174	14.758	000000000	0	4	13	33	0	0	7	3	1
1	4	13	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2005	200910783286	309.918	000000000	0	3	13	999	0	0	99	3	1
1	4	22	9	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1991	200910783353	308.386	000000000	0	1	7	399	0	0	99	3	1
1	5	99	9	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1987	200910783868	72.867	000000000	0	4	21	399	0	0	7	3	1
1	4	49	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2002	200910783922	308.859	000000000	0	4	1	999	0	0	99	3	1
1	4	35	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1998	200910783975	309.802	000000000	0	4	3	399	0	0	99	3	1
1	4	12	49	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	1996	200910783975	309.802	000000000	0	4	3	999	0	0	99	3	2
1	4	84	50	2	0	0	0	9	1	0	22	0	0	1	0	1	0	1HVBBZWN4LH6	1990	200910784069	308.386	999999999	0	4	7	989	2	2	7	3	1
1	1	41	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	JM3ER29L5801	2008	200910784174	5.056	000000000	0	1	7	53	0	0	99	3	1
1	1	49	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	2T1AE04B6SC0	1995	200910784174	5.056	000000000	0	1	7	32	0	0	99	3	2
1	1	35	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	5N1AR18B08C6	2008	200910784174	5.056	000000000	0	1	7	401	0	0	99	3	3
1	4	12	14	0	0	0	0	9	1	0	0	0	0	1	0	1	0	1FMEU74E57UA	2007	200910784319	306.041	000000000	0	4	21	401	0	0	99	3	1
1	4	49	4	0	0	0	0	9	1	0	0	0	0	1	0	1	0	999999999999	2007	200910784813	308.418	000000000	0	3	4	399	0	0	99	3	1
1	4	6	6	0	0	0	0	9	1	0	0	0	0	1	0	1	0	3C8FY4BB41T5	2001	200910784814	306.041	000000000	0	4	21	52	0	0	7	3	1
1	5	37	15	0	0	0	0	9	1	0	0	0	0	1	0	1	0	2HKYF18694H6	2004	200910784830	72.867	000000000	0	2	21	421	0	0	7	3	1
1	4	35	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	999999999999	2007	200910785146	308.859	000000000	0	4	1	399	0	0	99	3	1
1	4	12	4	0	0	0	0	9	2	0	0	0	0	1	0	1	0	999999999999	2004	200910785146	308.859	000000000	0	4	1	399	0	0	99	3	2
