OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
144	5	200910422866	49.28	3	2	99	98	6	2	1	1
145	5	200910422866	49.28	3	3	99	98	6	2	1	1
135	5	200910422868	49.28	3	1	1	98	6	2	1	1
2	4	200910422871	295.682	5	1	3	2	6	2	1	1
2	5	200910422872	49.28	5	1	4	1	6	2	1	1
2	5	200910422873	49.28	5	1	4	4	6	2	1	1
3	5	200910422873	49.28	5	2	99	99	6	2	1	2
145	5	200910422873	49.28	3	3	99	98	6	2	1	3
145	5	200910422873	49.28	3	4	99	98	6	2	1	3
137	6	200910422876	147.841	3	1	3	98	6	2	1	1
135	6	200910422886	135.73	3	1	3	98	3	2	1	1
2	4	200910422889	298.606	5	1	2	1	3	2	1	1
2	5	200910422910	81.438	4	1	1	2	1	2	1	1
140	6	200910422917	135.73	3	1	1	98	1	2	1	1
2	2	200910422922	49.28	4	1	1	3	6	2	1	1
140	6	200910422925	147.841	3	1	2	98	6	2	1	1
2	5	200910422927	49.28	4	1	1	1	6	2	1	1
2	6	200910422939	179.707	5	1	4	1	10	2	1	1
101	5	200910422940	89.853	1	1	0	98	10	2	1	1
2	4	200910422943	269.56	5	1	4	1	10	2	1	1
136	5	200910422945	89.853	3	1	1	98	10	2	1	1
2	5	200910422947	53.887	5	1	4	1	4	2	1	1
137	6	200910422948	161.66	3	1	1	98	4	2	1	1
137	6	200910422948	161.66	3	2	99	98	4	2	1	1
101	6	200910422948	161.66	1	3	0	98	4	2	1	1
2	4	200910422950	323.32	4	1	1	1	4	2	1	1
138	1	200910422952	53.887	3	1	1	98	4	2	1	1
101	1	200910422952	53.887	1	2	0	98	4	2	1	1
145	6	200910422954	115.047	3	1	1	98	9	2	1	1
138	6	200910422956	115.047	3	1	1	98	9	2	1	1
140	6	200910422961	115.047	3	1	1	98	9	2	1	1
128	4	200910422962	287.619	2	1	1	98	9	2	1	1
145	1	200910422964	57.524	3	1	1	98	9	2	1	1
101	1	200910422964	57.524	1	2	0	98	9	2	1	1
