MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
0	1	3	200911516843	16.569	1	2	5
0	1	3	200911516988	30.708	1	22	5
0	1	3	200911517135	97.37	1	39	5
99	1	3	200911517327	16.569	1	2	5
29	1	3	200911517327	16.569	2	2	5
0	1	3	200912002475	23.242	1	14	6
21	1	3	200912002484	19.337	1	1	6
27	1	3	200912002588	20.242	1	26	6
0	1	3	200912002687	20.242	1	26	6
0	1	3	200912002693	16.363	1	5	6
21	1	3	200912002706	17.883	1	11	6
21	1	3	200912002768	16.463	1	7	6
3	1	3	200912002908	20.242	1	26	6
21	1	3	200912002927	16.363	1	5	6
21	1	3	200912002927	16.363	2	5	6
0	1	3	200912002957	17.883	1	11	6
0	1	3	200912002966	23.242	1	14	6
0	1	3	200912003034	19.337	1	2	6
0	1	3	200912003043	17.238	1	4	6
0	1	2	200912003110	2.763	1	2	6
0	1	6	200912412674	123.095	1	51	8
21	1	6	200912412694	98.855	1	118	8
0	1	2	200912412705	12.847	1	2	8
98	1	3	200912412869	98.855	1	118	8
21	1	3	200912413290	17.303	1	5	8
22	1	6	200912413292	138.423	1	5	8
21	1	3	200912413435	61.547	1	51	8
21	1	3	200912413477	28.382	1	15	8
98	1	3	200912413633	12.435	1	4	8
98	1	3	200912413641	28.382	1	15	8
7	1	3	200912413659	28.382	1	15	8
8	1	3	200912413659	28.382	1	15	8
21	1	4	200912413802	296.566	1	118	8
0	1	5	200912413970	69.211	1	5	8
22	1	3	200912414111	12.435	1	4	8
0	1	3	200912414232	98.855	1	118	8
0	1	2	200912414270	17.303	1	5	8
29	1	2	200912414270	17.303	2	5	8
0	1	3	200912414331	28.382	1	15	8
0	1	6	200912414513	135.463	1	33	8
22	2	3	200912800565	19.051	1	1	11
0	2	3	200912800578	19.051	1	1	11
7	2	3	200912800585	19.051	1	1	11
8	2	3	200912800585	19.051	1	1	11
0	2	3	200912800605	19.051	1	1	11
0	3	3	200913028185	19.19	1	3	9
98	3	3	200913028256	19.19	1	5	9
0	3	2	200913028738	4.798	1	6	9
22	3	3	200913029028	19.19	1	5	9
0	3	3	200913029201	19.19	1	7	9
22	3	3	200913030208	24.295	1	13	9
21	3	3	200913030233	19.19	1	5	9
22	3	3	200913030233	19.19	1	5	9
24	3	3	200913030233	19.19	1	5	9
21	3	3	200913030347	27.04	1	16	9
22	3	3	200913030347	27.04	1	16	9
0	3	2	200913030485	4.798	1	1	9
7	3	3	200913030755	15.754	1	8	9
9	3	3	200913030755	15.754	1	8	9
0	3	3	200913031160	15.754	1	8	9
0	3	3	200913031286	19.19	1	5	9
0	3	5	200913031369	67.165	1	2	9
7	3	3	200913031463	15.754	1	8	9
8	3	3	200913031463	15.754	1	8	9
24	3	3	200913031719	24.295	1	13	9
27	3	3	200913032080	19.19	1	4	9
99	3	3	200913032115	19.19	1	3	9
0	3	1	200913032399	4.798	1	2	9
0	3	1	200913032399	4.798	2	2	9
21	3	3	200913032770	19.19	1	3	9
0	3	3	200913032963	24.295	1	13	9
0	3	3	200913032965	24.295	1	13	9
0	3	3	200913033221	19.19	1	3	9
0	3	3	200913033269	19.19	1	4	9
5	3	3	200913033370	27.04	1	16	9
7	3	3	200913033370	27.04	1	16	9
22	3	3	200913033371	15.754	1	8	9
0	3	2	200913033412	4.798	1	2	9
21	3	3	200913033500	19.19	1	4	9
0	3	3	200913033569	19.19	1	5	9
22	3	3	200913033624	24.295	1	13	9
0	3	2	200913033715	4.798	1	2	9
0	3	3	200913033776	19.19	1	3	9
0	3	1	200913033997	4.798	1	2	9
0	3	2	200913034035	4.798	1	2	9
0	3	2	200913034035	4.798	2	2	9
0	3	3	200913034191	19.19	1	5	9
29	3	3	200913034390	19.19	1	2	9
0	3	3	200913034753	19.19	1	2	9
22	3	3	200913035191	27.04	1	16	9
24	3	3	200913035191	27.04	1	16	9
22	3	3	200913035352	19.19	1	5	9
27	3	3	200913035420	19.19	1	4	9
0	2	3	200913530394	19.051	1	2	11
22	2	3	200913530533	19.051	1	2	11
0	2	3	200913530609	19.051	1	6	11
27	2	3	200913530709	19.051	1	6	11
7	2	3	200913531245	19.051	1	2	11
