200515415916 1 141  133   20.05
200515415921 1 941  133   20.05
200515415941 1 141  233   20.05
200515415941 2 141  233   20.05
200515415969 1 141  233   20.05
200515415997 1 141  233   20.05
200515416006 1 141  133   20.05
200515416080 1 241  133   20.05
200515416259 1 941  133   20.05
200515416273 1 141  133   20.05
200515416294 1 141  133   20.05
200515416651 1 141  133   20.05
200515416678 1 141  133   20.05
200515416792 1 141  133   20.05
200515416911 1 141  133   20.05
200515416934 1 941  133   20.05
200515417066 1 141  133   20.05
200515417266 1 141  133   20.05
200515417390 1 141  333   20.05
200515417410 1 141  133   20.05
200515417445 1 941  133   20.05
200515417499 1 141  133   20.05
200515417638 1 141  133   20.05
200515417691 1 141  133   20.05
200515417735 1 141  133   20.05
200515417738 1 141  233   20.05
200515417795 1 141  233   20.05
200515417807 1 141  234  290.78
200515417939 1 141  133   20.05
200515417996 1 141  133   20.05
200515418050 1 141  132   10.03
200515418373 1 141  133   20.05
200515418384 1 141  133   20.05
200515418528 1 141  133   20.05
200515418558 1 141  133   20.05
200515418605 1 141  233   20.05
200515418657 1 141  133   20.05
200515418809 1 141  333   20.05
200515418830 1 141  133   20.05
200515418932 1 141  133   20.05
200515418952 1 141  133   20.05
200515419073 1 141  133   20.05
200515419148 1 141  133   20.05
200515419162 1 141  132   10.03
200515419171 1 141  233   20.05
200515419191 1 141  233   20.05
200515419191 2 141  233   20.05
200515419242 1 141  133   20.05
200515419258 1 941  133   20.05
200515419289 1 141  133   20.05
200515419309 1 141  134  290.78
200515419337 1 141  233   20.05
200515419367 1 141  233   20.05
200515419454 1 141  133   20.05
200515419471 1 141  233   20.05
200515419577 1 141  133   20.05
200515419590 1 141  133   20.05
200515419592 1 141  133   20.05
200515419686 1 141  234  290.78
200515419696 1 141  233   20.05
200515419696 2 141  233   20.05
200515419696 3 141  233   20.05
200515419696 4 141  233   20.05
200515419755 1 141  133   20.05
200515419831 1 941  133   20.05
200515419864 1 141  133   20.05
200515419877 1 141  133   20.05
200515419893 1 141  133   20.05
200515419903 1 141  333   20.05
200515419956 1 141  233   20.05
200516104827 1 143  433   12.22
200516105132 1 143  333   12.22
200516105489 1 143  433   12.22
200516105733 1 143  233   12.22
200516106091 1 243  233   12.22
200516106186 1 143  633   41.42
200516106508 1 143  636  124.25
200516106585 1 843  333   12.22
200516106775 1 943  333   12.22
200516106886 1 143  433   12.22
200516106896 1 143  633   41.42
200516226678 1 973  926  129.86
200516226683 1 173  923   21.64
200516354270 1 172  123   20.00
200516358186 1 172  223   20.00
200516362930 1 972  623   20.00
200516500580 1 145  133   20.21
200516500692 1 145  133   20.21
200516500936 1 145  133   20.21
200516501270 1 145  133   20.21
200516501564 1 145  133   20.21
200516501904 1 145  233   20.21
200516502062 1 145  133   20.21
200516503528 1 145  333   20.21
200516586349 1 145  133   20.21
200516586674 1 145  133   20.21
200516587068 1 145  233   20.21
200516587578 1 145  133   20.21
200516587720 1 145  133   20.21
200516588098 1 145  133   20.21
200516588842 1 145  133   20.21
200516589529 1 145  133   20.21
200516590114 1 145  133   20.21
200516590426 1 145  233   20.21
200516590471 1 145  133   20.21
200516590661 1 145  133   20.21
200516590899 1 145  133   20.21
200516591406 1 145  233   20.21
200516591406 2 145  233   20.21
200516591817 1 145  133   20.21
200516592117 1 145  133   20.21
200516592657 1 145  233   20.21
200516592864 1 145  233   20.21
200516593688 1 145  133   20.21
200516593748 1 145  133   20.21
200516595414 1 145  133   20.21
200516595762 1 145  133   20.21
200516596329 1 145  133   20.21
200516596416 1 145  133   20.21
200516597118 1 145  233   20.21
200516598054 1 145  133   20.21
200516598191 1 145  133   20.21
200516598775 1 145  233   20.21
200516599224 1 145  133   20.21
200517109790 1 951  133   79.66
200517110087 1 251  134  318.62
200517110150 1 151  133   79.66
200517110323 1 151  133   79.66
200517110438 1 951  133   79.66
200517110459 1 151  133   79.66
200517110499 1 151  133   79.66
200517110572 1 151  133   79.66
200517110866 1 151  133   79.66
200517110879 1 151  135   79.66
200517110932 1 951  134  318.62
200517111022 1 151  233   79.66
200517111023 1 151  233   79.66
200517111034 1 151  133   79.66
200517111155 1 951  133   79.66
200517111333 1 951  233   79.66
200517111372 1 151  133   79.66
200517111533 1 151  134  318.62
200517111670 1 951  133   79.66
200517111747 1 151  133   79.66
200517111813 1 151  134  318.62
200517112091 1 951  133   79.66
200517112227 1 151  133   79.66
200517112307 1 151  133   79.66
200517112399 1 151  133   79.66
200517112459 1 151  133   79.66
200517112459 2 151  133   79.66
200517113025 1 151  133   79.66
200517216260 1 148  333   51.96
200517216284 1 148  433   51.96
200517216603 1 948  133   51.96
200517217241 1 148  231   51.96
200517217503 1 148  133   51.96
200517217574 1 148  333   51.96
200517217680 1 148  233   51.96
200517218682 1 148  133   51.96
200517219072 1 148  133   51.96
200517219113 1 148  333   51.96
200517219167 1 948  533   51.96
200517219361 1 148  133   51.96
200517219379 1 148  133   51.96
200517219394 1 148  133   51.96
200517219733 1 148  233   51.96
200517219969 1 148  133   51.96
200517219980 1 148  136  103.93
200517220099 1 148  233   51.96
200517220474 1 948  133   51.96
200517220646 1 948  133   51.96
200517220739 1 948  333   51.96
200517221066 1 148  333   51.96
200517221314 1 148  133   51.96
200517221373 1 148  233   51.96
200517221919 1 148  133   51.96
200517221920 1 148  133   51.96
200517222029 1 148  432   51.96
200517222029 2 148  432   51.96
200517222259 1 148  133   51.96
200517222352 1 948  233   51.96
200517222447 1 948  133   51.96
200517222561 1 148  133   51.96
200517222886 1 948  433   51.96
200517222895 1 948  434  311.78
200517223390 1 948  133   51.96
200517223634 1 148  134  311.78
200517223834 1 148  133   51.96
200517224057 1 148  133   51.96
200517224459 1 148  133   51.96
200517677708 1 149  133   15.64
200517678305 1 149  133   15.64
200517678323 1 149  133   15.64
200517678627 1 149  133   15.64
200517678820 1 149  133   15.64
200517679117 1 149  133   15.64
200517679261 1 949  133   15.64
200517679275 1 949  132    5.21
200517679318 1 949  133   15.64
200517680301 1 149  132    5.21
200517680427 1 149  133   15.64
200517680608 1 149  133   15.64
200517680823 1 149  131    5.21
200517680938 1 149  133   15.64
200517681001 1 149  133   15.64
200517681058 1 149  133   15.64
200517681061 1 149  133   15.64
200517681667 1 149  133   15.64
200517681717 1 149  133   15.64
200517682308 1 949  132    5.21
200517682591 1 149  133   15.64
200517682722 1 149  133   15.64
200517683334 1 949  133   15.64
200517683970 1 149  133   15.64
200517683979 1 149  133   15.64
200517684081 1 149  133   15.64
200517684164 1 149  133   15.64
200517684243 1 149  132    5.21
200517684262 1 149  133   15.64
200517684559 1 149  133   15.64
200517684808 1 249  133   15.64
200517684932 1 149  133   15.64
200517685305 1 949  133   15.64
200517685357 1 949  133   15.64
200517685484 1 149  133   15.64
200517685605 1 149  133   15.64
200517685701 1 149  133   15.64
200517685819 1 149  133   15.64
200517685819 2 149  133   15.64
200517685963 1 149  133   15.64
200517686131 1 149  133   15.64
200517686266 1 149  133   15.64
200517686676 1 149  133   15.64
200517686716 1 949  133   15.64
200517686854 1 149  133   15.64
200517686966 1 149  133   15.64
200517687021 1 149  133   15.64
200517687238 1 149  133   15.64
200517687551 1 149  133   15.64
200517687727 1 149  132    5.21
200517687727 2 149  132    5.21
200517688070 1 149  133   15.64
200517688111 1 149  133   15.64
200517688252 1 149  133   15.64
200517688363 1 149  133   15.64
200517688386 2 149  133   15.64
200517688984 1 149  133   15.64
200517689636 1 149  133   15.64
200517689986 1 149  133   15.64
200518324406 1 973  124  296.48
200518446228 1 172  123   20.00
200518447011 1 972  323   20.00
200518447244 1 972  623   20.00
200518447813 1 172  123   20.00
200518447820 1 172  123   20.00
200518448177 1 972  423   20.00
200518448408 1 972  223   20.00
200518448488 1 972  323   20.00
200518448724 1 172  423   20.00
200518448730 1 972  423   20.00
200518448885 1 172  123   20.00
200518448889 1 172  123   20.00
200518449123 1 172  623   20.00
200518449211 1 172  123   20.00
200518449215 1 172  123   20.00
200518449562 1 172  423   20.00
200518449625 1 172  123   20.00
200518449629 1 172  123   20.00
200518449748 1 172  223   20.00
200518450240 1 972  421    5.00
200518450388 1 972  623   20.00
200518450411 1 972  423   20.00
200518450631 4 172  721    2.00
200518450741 1 172  223   20.00
200518450816 1 172  323   20.00
200518450888 1 172  323   20.00
200518451359 1 172  423   20.00
200518451359 2 172  423   20.00
200518451387 1 172  123   20.00
200518451630 1 172  623   20.00
200518451686 1 172  423   20.00
200518451861 1 172  623   20.00
200518452639 1 172  623   20.00
200518452829 1 172  323   20.00
200518452843 1 172  323   20.00
200518453155 1 172  123   20.00
200518453412 1 972  323   20.00
200518453467 1 172  122    5.00
200518453467 2 172  122    5.00
200518453468 1 972  123   20.00
200518453852 1 972  323   20.00
200518453856 1 172  323   20.00
200518454059 1 972  623   20.00
200518454454 1 972  122    5.00
200518454501 1 172  423   20.00
200518454573 1 172  223   20.00
200518454577 1 972  223   20.00
200518454774 1 172  623   20.00
200518454778 1 172  623   20.00
200518455016 1 172  223   20.00
200518455112 1 972  123   20.00
200518455268 1 972  123   20.00
200518455389 1 972  623   20.00
200518455442 1 972  423   20.00
200518455742 1 172  323   20.00
200518455746 1 172  323   20.00
200518456059 1 972  323   20.00
200518456397 1 972  623   20.00
200518456405 1 972  623   20.00
200518456552 1 372  323   20.00
200518456609 1 172  223   20.00
200518456834 1 172  223   20.00
200518456842 1 172  223   20.00
200518456934 1 972  323   20.00
200518457452 1 172  223   20.00
200518457548 1 172  123   20.00
200518457617 1 172  423   20.00
200518457711 1 172  223   20.00
200518457996 1 172  123   20.00
200518458153 1 172  123   20.00
200518458289 1 172  323   20.00
200518458293 1 172  323   20.00
200518458484 1 972  123   20.00
200518458636 1 972  623   20.00
200518458683 1 172  423   20.00
200518458687 1 172  423   20.00
200518458978 1 172  223   20.00
200518459159 1 172  123   20.00
200518459634 1 972  123   20.00
200518459818 1 172  223   20.00
200518459822 1 172  223   20.00
