CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201111184923	0	1	13.0465	1	3	2	4	3	1
201111184938	0	1	13.0465	1	3	3	4	3	1
201111185199	0	1	13.0465	1	3	3	4	3	1
201111185308	0	1	13.0465	1	3	2	4	3	1
201111185468	0	1	13.0465	1	3	3	4	3	1
201111185551	0	1	13.0465	1	3	2	4	3	1
201111185576	0	1	27.13672	1	3	6	4	3	1
201111185724	0	1	13.0465	1	3	2	4	3	1
201111185765	0	1	13.0465	1	3	3	4	3	1
201111185919	0	1	13.0465	1	3	3	4	3	1
201111186065	0	1	221.7905	1	4	1	4	3	1
201111186134	0	1	13.0465	1	3	2	4	3	1
201111186283	0	1	27.13672	1	3	6	4	3	1
201111186329	0	1	13.0465	1	3	1	4	3	1
201111186332	0	1	221.7905	1	4	1	4	3	1
201111186354	0	1	13.0465	1	3	2	4	3	1
201111186800	0	1	13.0465	1	3	3	4	3	1
201111186800	0	2	13.0465	1	3	3	4	3	1
201111187360	0	1	221.7905	1	4	2	4	3	1
201111187375	0	1	13.0465	1	3	2	4	3	1
201111187375	0	2	13.0465	1	3	2	4	3	1
201111187375	0	3	13.0465	1	3	2	4	3	1
201111187383	0	1	104.372	1	6	2	4	3	1
201111187422	0	1	13.0465	1	3	2	4	3	1
201111187553	0	1	13.0465	1	3	2	4	3	1
201111187680	0	1	33.9209	1	3	7	4	3	1
201111187688	0	1	33.9209	1	3	7	4	3	1
201111187704	0	1	27.13672	1	3	6	4	3	1
201111187763	0	1	59.361575	1	3	11	4	3	8
201111188165	0	1	13.0465	1	3	3	4	3	1
201111188384	0	1	13.0465	1	3	2	4	3	1
201111188661	0	1	13.0465	1	3	1	4	3	1
201111188709	0	1	243.18676	1	4	17	4	3	1
201111188777	0	1	33.9209	1	3	7	4	3	1
201111188900	0	1	221.7905	1	4	2	4	3	1
201111189153	0	1	33.9209	1	3	7	4	3	1
201111189174	0	1	13.0465	1	3	1	4	3	1
201111189222	0	1	13.0465	1	3	2	4	3	1
