CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PIMPACT2	PVEH_SEV	PTOWED	PM_HARM	PFIRE
201110700498	1	223.85142	1	4	4	3	1	1	0	1	21	37	14	0	2	0	47	36	4	2000	YS3ED48E6Y30	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110700597	2	227.49759	1	4	7	3	1	1	0	1	12	30	14	0	2	0	7	442	20	2009	1D8HN44E09B5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	62	8	1	14	0
201110700639	2	224.814301	1	4	10	3	1	1	0	1	8	0	14	0	3	0	22	18	4	2005	1G2NE52F35M1	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110700706	1	223.463504	1	4	3	3	1	1	0	1	21	45	14	0	2	0	7	442	20	2005	2D8GP44L85R5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110700804	3	15.166506	1	3	7	3	1	2	0	1	11	59	12	6	2	0	99	999	99	9999	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	8	1	12	0
201110700804	4	15.166506	1	3	7	3	1	2	0	1	11	59	12	6	2	0	99	999	99	9999	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	12	0
201110700804	5	15.166506	1	3	7	3	1	2	0	1	11	59	12	6	2	0	13	1	4	2005	1LNHM81W15Y6	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	12	0
201110701055	2	227.49759	1	4	7	3	1	1	0	1	13	0	14	0	3	0	35	47	4	2002	1N4BL11D72C2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110701096	1	226.493712	1	4	16	3	1	1	0	1	19	10	14	0	2	0	86	882	63	1998	1M2K195C2WM0	0	77	777777777	77777777777	3	2	4	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110701191	1	223.463504	1	4	3	3	1	1	0	2	9	0	14	0	2	0	49	40	4	2010	4T1BF3EKXAU5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	14	0
201110701227	2	221.36985	1	4	13	3	1	1	0	2	18	0	14	0	3	0	55	36	3	2007	KMHCN36C27U0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	8	1	12	0
201110701276	3	49.65933	1	5	8	3	1	2	0	1	2	50	12	6	3	0	30	399	9	1998	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	2	14	0
201110701276	4	49.65933	1	5	8	3	1	2	0	1	2	50	12	6	3	0	99	999	49	9999	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	12	12	8	1	14	0
201110701427	2	15.236148	1	3	3	3	1	1	0	2	8	0	8	0	3	0	35	399	4	2010	999999999999	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	62	8	1	14	0
201110701508	2	226.493712	1	4	16	3	1	1	0	2	16	30	14	0	3	0	37	39	5	2010	JHMGE8H48AC0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	14	0
201110701542	1	218.60058	1	4	21	3	1	1	0	2	12	0	14	0	2	0	7	403	14	2007	1D8GU28K27W5	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	1	1	8	1	14	0
201110701577	2	227.49759	1	4	7	3	1	1	4	2	19	1	14	0	2	0	12	422	15	2000	1FMPU18LXYLA	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	3	3	8	1	14	0
201110701604	2	218.60058	1	4	21	3	1	1	0	2	9	48	14	0	3	0	49	442	20	2006	5TDZA22C86S4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	7	8	1	14	0
201110701656	3	5.078716	1	1	3	3	1	2	0	2	21	23	12	6	3	0	49	40	4	2001	4T1BG22K61U0	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	7	99	8	1	14	0
201110701702	3	5.078716	1	1	3	3	1	2	0	2	19	44	12	6	3	0	99	884	78	9999	999999999999	1	99	999999999	99999999999	9	19	98	1	0	0	0	0	0	0	0	9	9	8	1	14	0
201110701765	1	223.463504	1	4	3	3	1	1	0	2	11	12	14	0	2	0	19	3	4	2000	1G6KD54Y5YU2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	9	8	1	12	0
