200710415669 1 0 2  914  230.10
200710415669 2 0 2  914  230.10
200710415670 1 0 2  913   57.52
200710415671 1 0 2  916  115.05
200710415672 1 0 2  913   57.52
200710415672 2 0 2  913   57.52
200710415674 1 0 2  915   57.52
200710415674 2 0 2  915   57.52
200710415677 1 0 2  915   57.52
200710415678 1 0 2  916  115.05
200710415681 1 0 2  116  108.58
200710415681 2 0 2  116  108.58
200710415687 1 0 2  115   54.29
200710415688 1 0 2  116  108.58
200710415688 2 0 2  116  108.58
200710415690 1 0 2  111   27.15
200710415690 2 0 2  111   27.15
200710415691 1 4 2  115   54.29
200710415693 1 0 2  114  244.31
200710415695 1 0 2  112   27.15
200710415701 1 0 2  315   54.29
200710415702 1 0 2  311   27.15
200710415703 1 0 2  314  244.31
200710415703 2 0 2  314  244.31
200710415707 1 0 2  311   27.15
200710415712 1 0 2  316  108.58
200710415714 1 0 2  416  107.77
200710415714 2 0 2  416  107.77
200710415719 1 0 2  416  107.77
200710415721 1 0 2  414  269.43
200710415723 1 0 2  416  107.77
200710415723 2 0 2  416  107.77
200710415726 1 0 2 1014  269.56
200710415729 1 4 2 1014  269.56
200710415734 150 2  611   49.28
200710415735 1 0 2  616   98.56
200710415735 2 0 2  616   98.56
200710415750 1 0 2  615   49.28
200710415751 1 0 2  614  246.40
200710415752 1 0 2  615   49.28
200710415752 2 0 2  615   49.28
200710415752 3 0 2  615   49.28
200710415757 1 0 2  614  246.40
200710415762 1 0 2  614  246.40
200710415762 2 0 2  614  246.40
200710415765 1 0 2  616   98.56
200710415768 1 0 2  616   98.56
200710415779 1 0 2  215   54.29
200710415783 1 0 2  915   57.52
200710415783 2 0 2  915   57.52
200710415785 1 0 2  915   57.52
200710415785 2 0 2  915   57.52
200710415786 1 0 2  914  230.10
200710415791 1 0 2  916  115.05
200710415791 2 0 2  916  115.05
200710415792 1 0 2  911   57.52
200710415793 1 0 2  914  230.10
200710415796 1 0 2  911   57.52
200710415796 2 0 2  911   57.52
200710415796 3 0 2  911   57.52
200710415797 1 0 2  916  115.05
200710415805 1 0 2  315   54.29
200710415806 1 0 2  314  244.31
200710415806 2 0 2  314  244.31
200710415828 1 0 2  316  108.58
200710415828 2 0 2  316  108.58
200710415828 3 0 2  316  108.58
200710415830 1 0 2  315   54.29
200710415830 2 0 2  315   54.29
200710415833 1 0 2  316  108.58
200710415833 2 0 2  316  108.58
200710415847 1 0 2  112   27.15
200710415852 1 0 2  111   27.15
200710415853 1 0 2  111   27.15
200710415855 1 0 2  212   27.15
200710415861 1 0 2 1016   89.85
200710415861 2 0 2 1016   89.85
200710415862 150 2 1014  269.56
200710415862 2 0 2 1014  269.56
200710415863 1 0 2 1016   89.85
200710415863 2 0 2 1016   89.85
200710415864 1 0 2 1016   89.85
200710415865 1 0 2 1016   89.85
200710415869 1 0 2  416  107.77
200710415869 2 0 2  416  107.77
200710415871 1 0 2  414  269.43
200710415892 1 0 2  116  108.58
200710415893 1 0 2  114  244.31
200710415893 2 0 2  114  244.31
200710415894 1 0 2  115   54.29
200710415894 2 0 2  115   54.29
200710415895 1 0 2  111   27.15
200710415900 1 0 2 1616  106.65
200710415901 1 0 2 1616  106.65
200710415902 1 0 2 1614  213.29
200710415902 2 0 2 1614  213.29
200710415903 1 0 2 1615  106.65
200710415903 2 0 2 1615  106.65
200710415904 1 0 2 1615  106.65
200710415906 1 0 2 1614  213.29
200710415906 2 0 2 1614  213.29
200710415907 1 0 2 1616  106.65
200710415909 1 0 2 1615  106.65
200710415909 2 0 2 1615  106.65
200710415910 1 0 2 1616  106.65
200710415911 1 0 2 1611  106.65
200710415916 1 0 2  314  244.31
200710415916 2 0 2  314  244.31
200710415919 1 0 2  315   54.29
200710415919 2 0 2  315   54.29
200710415925 1 0 2  213   27.15
200710415927 1 0 2  215   54.29
200710415927 2 0 2  215   54.29
200710415930 1 0 2  614  246.40
200710415931 1 0 2  616   98.56
200710415933 1 3 2 1016   89.85
200710415937 1 0 2  416  107.77
200710415938 1 0 2  411   53.89
200710415950 1 0 2  914  230.10
200710415954 1 0 2  916  115.05
200710415954 2 0 2  916  115.05
200710415955 1 0 2  914  230.10
200710415959 1 0 2  916  115.05
200710415962 1 0 2  914  230.10
200710415965 1 0 2  916  115.05
200710415967 1 0 2  914  230.10
200710415967 2 0 2  914  230.10
200710415969 1 0 2  915   57.52
200710415977 1 0 2  314  244.31
200710415977 2 0 2  314  244.31
200710415979 1 4 2  316  108.58
200710415979 2 0 2  316  108.58
200710415984 1 0 2  416  107.77
200710415984 2 0 2  416  107.77
200710415984 3 0 2  416  107.77
200710415986 1 0 2  414  269.43
200710415989 1 0 2  415   53.89
200710415992 1 0 2 1014  269.56
200710415992 2 0 2 1014  269.56
200710415993 1 0 2 1016   89.85
200710415993 2 0 2 1016   89.85
200710415998 1 0 2  216  108.58
200710415999 1 0 2  214  244.31
200710416009 1 0 2 1014  269.56
200710416009 2 0 2 1014  269.56
200710416013 1 0 2  414  269.43
